Id,ApiGameId,SystemId,Title,Genre,CoverURL,Upc,loose-price,cib-price,GameConsoleId,release-date
243,8889,NES,Dynowarz The Destruction of Spondylus,Action & Adventure,https://www.mobygames.com/images/covers/l/128205-dynowarz-destruction-of-spondylus-nes-front-cover.jpg,,$5.99,$16.99,1,1990-04-01
244,11989,NES,Elevator Action,Puzzle,https://www.mobygames.com/images/covers/l/224482-elevator-action-nes-front-cover.png,,$9.15,$36.45,1,1987-08-01
245,38017,NES,Elevator Action [5 Screw],Action & Adventure,https://www.mobygames.com/images/covers/l/224482-elevator-action-nes-front-cover.png,,$10.00,$29.99,1,1987-08-01
246,8906,NES,Eliminator Boat Duel,Racing,https://upload.wikimedia.org/wikipedia/en/a/a3/Eliminator_Boat_Duel_cover.jpg,,$19.97,$39.99,1,1991-11-01
247,11990,NES,Excitebike,Racing,https://upload.wikimedia.org/wikipedia/en/f/f8/Excitebike_cover.jpg,,$6.98,$25.67,1,1985-10-18
248,37977,NES,Excitebike [5 Screw],Racing,https://upload.wikimedia.org/wikipedia/en/f/f8/Excitebike_cover.jpg,,$11.00,$38.30,1,1985-10-18
249,12223,NES,Exodus Journey to the Promised Land,RPG,https://www.mobygames.com/images/covers/l/26358-exodus-journey-to-the-promised-land-nes-front-cover.jpg,,$10.22,$24.71,1,1990-01-01
250,8928,NES,F-117A Stealth Fighter,Other,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/F-117A_Stealth_Fighter_cover.png/220px-F-117A_Stealth_Fighter_cover.png,,$10.70,$24.95,1,1992-12-01
251,19760,NES,F-15 City War,Action & Adventure,https://www.mobygames.com/images/covers/l/17798-f-15-city-war-nes-front-cover.jpg,,$7.14,$15.79,1,1990-01-01
252,8929,NES,F-15 Strike Eagle,Action & Adventure,https://www.mobygames.com/images/covers/l/79919-f-15-strike-eagle-nes-front-cover.png,,$7.29,$17.80,1,1992-02-01
