Id,SystemId,Title,Genre, CoverURL, Upc
16126,NES,Palamedes,Other
9523,NES,Panic Restaurant,Action & Adventure
9528,NES,Paperboy,Racing
9530,NES,Paperboy 2,Action & Adventure
14932,NES,Peek-a-Boo Poker,Action & Adventure
19452,NES,Pesterminator,Action & Adventure
12352,NES,Peter Pan and the Pirates,Action & Adventure
12353,NES,Phantom Fighter,Other
12354,NES,Pictionary,Other
12355,NES,Pin-Bot,Action & Adventure
12005,NES,Pinball,Arcade
12356,NES,Pinball Quest,Arcade
37979,NES,Pinball [5 Screw],Arcade
12357,NES,Pipe Dream,Puzzle
9558,NES,Pirates,Action & Adventure
12358,NES,Platoon,Action & Adventure
9566,NES,Play Action Football,Football
12359,NES,Popeye,Action & Adventure
37988,NES,Popeye [5 Screw],Action & Adventure
9574,NES,Power Blade,Action & Adventure
9575,NES,Power Blade 2,Action & Adventure
13715,NES,Power Glove,Controllers
13761,NES,Power Pad,Controllers
9577,NES,Power Punch II,Fighting
12360,NES,Predator,Action & Adventure
9584,NES,Prince of Persia,Action & Adventure
12361,NES,Princess Tomato in the Salad Kingdom,Action & Adventure
9592,NES,Pro Sports Hockey,Sports
12362,NES,Pro Wrestling,Wrestling
38001,NES,Pro Wrestling [5 Screw],Wrestling
12006,NES,Punch-Out,Sports
12364,NES,Puss N' Boots: Pero's Great Adventure,Action & Adventure
12365,NES,Puzzle,Puzzle
12366,NES,Puzznic,Puzzle
12367,NES,Pyramid,Action & Adventure
12368,NES,Q*bert,Arcade
12369,NES,Qix,Puzzle
12371,NES,Quattro Adventure,Action & Adventure
39524,NES,Quattro Adventure [Aladdin],Action & Adventure
19308,NES,Quattro Arcade,Arcade
12372,NES,Quattro Sports,Sports
39525,NES,Quattro Sports [Aladdin],Sports
21024,NES,Quickshot Joystick,Controllers
16260,NES,Quickshot Sighting Scope,Accessories
9635,NES,RBI Baseball,Baseball
12373,NES,RBI Baseball 2,Baseball
12374,NES,RBI Baseball 3,Baseball
39512,NES,RBI Baseball [Gray Cart],Baseball
12375,NES,RC Pro-AM,Racing
